Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
63,VAFB,SSO-A,"2,500 kg",LEO,NASA,Success,F9 B5,,5 December 2018,18:16
64,CCAFS,SpaceX CRS-16,"4,400 kg",MEO,USAF,Success,F9 B5,,23 December 2018,13:51
65,CCAFS,GPS III,"9,600 kg",Polar,Iridium Communications,Success,F9 B5,,11 January 2019,15:31
66,VAFB,Iridium NEXT,"4,850 kg",GTO,PSN,Success,F9 B5,,22 February 2019,01:45
67,CCAFS,Nusantara Satu,"12,055 kg",LEO,NASA,Success,F9 B5,,2 March 2019,07:49
68,KSC,Crew Dragon Demo-1,"2,495 kg",LEO,NASA,Success,F9 B5,,4 May 2019,06:48
69,CCAFS,SpaceX CRS-17,"13,620 kg",LEO,SpaceX,Success,F9 B5,,24 May 2019,02:30
70,CCAFS,Starlink,"4,200 kg",SSO,Canadian Space Agency,Success,F9 B5,,12 June 2019,14:17
71,VAFB,RADARSAT Constellation,"2,268 kg",LEO,NASA,Success,F9 B5,,25 July 2019,22:01
72,CCAFS,SpaceX CRS-18,"6,500 kg",GTO,Spacecom,Success,F9 B5,,6 August 2019,23:23
73,CCAFS,AMOS-17,"15,600 kg",LEO,SpaceX,Success,F9 B5,,11 November 2019,14:56
74,CCAFS,Starlink,"2,617 kg",LEO,NASA,Success,F9 B5,,5 December 2019,17:29
75,CCAFS,SpaceX CRS-19,"6,956 kg",GTO,Sky Perfect JSAT,Success,F9 B5,,17 December 2019,00:10
76,CCAFS,JCSat-18,"15,600 kg",LEO,SpaceX,Success,F9 B5,,7 January 2020,02:19:21
77,CCAFS,Starlink,"12,050 kg",Sub-orbital,NASA,Success,F9 B5,,19 January 2020,15:30
78,KSC,Crew Dragon in-flight abort test,"15,600 kg",LEO,SpaceX,Success,F9 B5,,29 January 2020,14:07
79,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,17 February 2020,15:05
80,CCAFS,Starlink,"1,977 kg",LEO,NASA,Success,F9 B5,,7 March 2020,04:50
81,CCAFS,SpaceX CRS-20,"15,600 kg",LEO,SpaceX,Success,F9 B5,,18 March 2020,12:16
82,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,22 April 2020,19:30
83,KSC,Starlink,"12,530 kg",LEO,NASA,Success,F9 B5,,30 May 2020,19:22
84,KSC,Crew Dragon Demo-2,"15,600 kg",LEO,SpaceX,Success,F9 B5,,4 June 2020,01:25
85,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,Success,F9 B5,,13 June 2020,09:21
86,CCAFS,Starlink,"4,311 kg",MEO,U.S. Space Force,Success,F9 B5,,30 June 2020,20:10:46
87,CCAFS,GPS III,"5,000–6,000 kg",GTO,Republic of Korea Army,Success,F9 B5,,20 July 2020,21:30
88,CCAFS,ANASIS-II,"14,932 kg",LEO,SpaceX,Success,F9 B5,,7 August 2020,05:12
89,KSC,Starlink,"~15,440 kg",LEO,SpaceX,Success,F9 B5,,18 August 2020,14:31
90,CCAFS,Starlink,"3,130 kg",SSO,CONAE,Success,F9 B5,,30 August 2020,23:18
91,CCAFS,SAOCOM 1B,"15,600 kg",LEO,SpaceX,Success,F9 B5,,3 September 2020,12:46:14
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,6 October 2020,11:29:34
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,18 October 2020,12:25:57
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,24 October 2020,15:31:34
95,CCAFS,Starlink,"4,311 kg",MEO,USSF,Success,F9 B5,,5 November 2020,23:24:23
96,CCAFS,GPS III,"~12,500 kg",LEO,NASA,Success,F9 B5,,16 November 2020,00:27
97,KSC,Crew-1,"1,192 kg",LEO,NASA,Success,F9 B5 ♺,,21 November 2020,17:17:08
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,,25 November 2020,02:13
99,CCAFS,Starlink,"2,972 kg",LEO,NASA,Success,F9 B5 ♺,,6 December 2020,16:17:08
100,KSC,SpaceX CRS-21,"7,000 kg",GTO,Sirius XM,Success,F9 B5 ♺,,13 December 2020,17:30:00
101,CCSFS,SXM-7,C,LEO,NRO,Success,F9 B5,,19 December 2020,14:00:00
102,KSC,NROL-108,"3,500 kg",GTO,Türksat,Success,F9 B5,,8 January 2021,02:15
103,CCSFS,Türksat 5A,"15,600 kg",LEO,SpaceX,Success,F9 B5,,20 January 2021,13:02
104,KSC,Starlink,"~5,000 kg",SSO,Various,Success,F9 B5 ♺,,24 January 2021,15:00
105,CCSFS,Transporter-1,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,,4 February 2021,06:19
106,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,,16 February 2021,03:59:37
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,,4 March 2021,08:24
108,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,,11 March 2021,08:13:29
109,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,14 March 2021,10:01
110,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5 ♺,,24 March 2021,08:28
111,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,7 April 2021,16:34
112,CCSFS,Starlink,"~13,000 kg",LEO,NASA,Success,F9 B5,,23 April 2021,9:49
113,KSC,Crew-2,"15,600 kg",LEO,SpaceX,Success,F9 B5,,29 April 2021,03:44
114,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,4 May 2021,19:01
115,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,9 May 2021,06:42
116,CCSFS,Starlink,"~14,000 kg",LEO,SpaceX,Success,F9 B5,,15 May 2021,22:56
117,KSC,Starlink,"15,600 kg",LEO,SpaceX,Success,F9 B5,,26 May 2021,18:59
118,CCSFS,Starlink,"3,328 kg",LEO,NASA,Success,F9 B5,,3 June 2021,17:29
119,KSC,SpaceX CRS-22,"7,000 kg",GTO,Sirius XM,Success,,,6 June 2021,04:26
120,CCSFS,SXM-8,,,,,,,,
121,,,,,,,,,,
